
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        24       15       1.28442E-03   0.1339
        25       15       9.21261E-04   0.1367
        26       15       1.10719E-03   0.1453
        27       15       1.44478E-03   0.1363
        28       15       1.57197E-03   0.1894
        29       15       1.53633E-03   0.2115
        30       15       1.07409E-03   0.1528
        31       15       1.25807E-03   0.1436
        32       15       1.31394E-03   0.1322
         1       16       3.40937E-03   0.2099
         2       16       3.27617E-03   0.2094
         3       16       3.13768E-03   0.2164
         4       16       3.89242E-03   0.2235
         5       16       3.55714E-03   0.2178
         6       16       3.07119E-03   0.2221
         7       16       2.17279E-03   0.2060
         8       16       1.30466E-03   0.2139
         9       16       7.71313E-04   0.2539
        10       16       5.59592E-04   0.2942
        11       16       4.53124E-04   0.3794
        12       16       4.32137E-04   0.3933
        13       16       4.29855E-04   0.4089
        14       16       5.44780E-04   0.4042
        15       16       4.71991E-04   0.4150
        16       16       5.07735E-04   0.3985
        17       16       1.66233E-03   0.1117
        18       16       1.27059E-03   0.1157
        19       16       1.41902E-03   0.1399
        20       16       1.52223E-03   0.1891
        21       16       1.54113E-03   0.1533
        22       16       1.32044E-03   0.1244
        23       16       1.19591E-03   0.1452
        24       16       9.65516E-04   0.1599
        25       16       1.16868E-03   0.1734
        26       16       1.25140E-03   0.1642
        27       16       1.41655E-03   0.1559
        28       16       1.47477E-03   0.1919
        29       16       1.00872E-03   0.1820
        30       16       1.18215E-03   0.1954
        31       16       1.42960E-03   0.1518
        32       16       1.29350E-03   0.1462
         1       17       3.71754E-03   0.1750
         2       17       3.46068E-03   0.1581
         3       17       3.04144E-03   0.1908
         4       17       2.76537E-03   0.2342
         5       17       2.34671E-03   0.2485
         6       17       1.96274E-03   0.1877
         7       17       2.02908E-03   0.2116
         8       17       1.44952E-03   0.2233
         9       17       1.22189E-03   0.2657
        10       17       9.78348E-04   0.3353
        11       17       7.75627E-04   0.2808
        12       17       8.00529E-04   0.2984
        13       17       6.29230E-04   0.3502
        14       17       5.46038E-04   0.3158
        15       17       4.73448E-04   0.3240
        16       17       3.17912E-04   0.3103
        17       17       1.93339E-03   0.1058
        18       17       2.01597E-03   0.1508
        19       17       2.24859E-03   0.1482
        20       17       1.78727E-03   0.1414
        21       17       1.55766E-03   0.1280
        22       17       1.22528E-03   0.1042
        23       17       1.33797E-03   0.1310
        24       17       1.13786E-03   0.1546
        25       17       1.14918E-03   0.1397
        26       17       1.25428E-03   0.2043
        27       17       1.23525E-03   0.1628
        28       17       1.32821E-03   0.1695
        29       17       1.15154E-03   0.1744
