
 'MICER spectrum':

  detector  wavelength      value      rel. std. dev.
        26        8       8.92465E-04   0.1933
        27        8       1.03241E-03   0.1725
        28        8       8.01880E-04   0.1916
        29        8       6.60767E-04   0.2114
        30        8       7.39363E-04   0.2137
        31        8       7.38892E-04   0.2629
        32        8       5.61275E-04   0.1836
         1        9       6.30301E-03   0.1261
         2        9       6.60112E-03   0.1289
         3        9       5.52253E-03   0.1479
         4        9       4.44315E-03   0.2050
         5        9       4.84516E-03   0.2008
         6        9       4.86966E-03   0.1869
         7        9       4.33034E-03   0.1924
         8        9       2.92082E-03   0.1906
         9        9       2.19264E-03   0.2640
        10        9       1.15490E-03   0.2766
        11        9       5.51314E-04   0.4390
        12        9       4.75583E-04   0.4143
        13        9       3.89367E-04   0.3465
        14        9       2.69950E-04   0.3624
        15        9       3.16213E-04   0.3662
        16        9       2.86013E-04   0.3465
        17        9       1.82464E-03   0.1265
        18        9       1.72556E-03   0.1266
        19        9       1.99049E-03   0.2358
        20        9       1.75468E-03   0.1884
        21        9       1.42311E-03   0.1505
        22        9       1.31726E-03   0.1493
        23        9       1.10044E-03   0.1648
        24        9       9.36340E-04   0.1628
        25        9       7.81254E-04   0.1975
        26        9       7.46077E-04   0.1724
        27        9       8.63189E-04   0.1670
        28        9       7.17220E-04   0.1975
        29        9       7.04800E-04   0.1979
        30        9       7.34150E-04   0.1767
        31        9       9.51507E-04   0.1900
        32        9       8.95575E-04   0.2042
         1       10       7.92502E-03   0.1472
         2       10       6.79900E-03   0.1522
         3       10       5.79081E-03   0.2061
         4       10       5.49281E-03   0.2427
         5       10       4.98812E-03   0.2392
         6       10       3.99860E-03   0.2497
         7       10       3.25827E-03   0.2196
         8       10       3.15726E-03   0.2697
         9       10       2.40216E-03   0.3003
        10       10       1.60751E-03   0.2917
        11       10       1.52996E-03   0.3368
        12       10       8.88833E-04   0.3292
        13       10       9.34766E-04   0.3705
        14       10       7.16085E-04   0.4627
        15       10       4.63461E-04   0.3395
        16       10       4.97793E-04   0.3409
        17       10       1.95135E-03   0.1203
        18       10       1.97113E-03   0.1729
        19       10       1.59076E-03   0.1417
        20       10       2.05343E-03   0.1511
        21       10       1.84210E-03   0.1538
        22       10       1.62654E-03   0.1701
        23       10       1.16364E-03   0.1440
        24       10       9.17417E-04   0.1486
        25       10       7.68903E-04   0.1519
        26       10       9.99332E-04   0.1375
        27       10       9.11440E-04   0.1512
        28       10       7.42614E-04   0.1429
        29       10       6.83005E-04   0.2014
        30       10       5.43280E-04   0.1868
        31       10       8.27264E-04   0.1810
        32       10       7.99685E-04   0.1673
         1       11       6.75564E-03   0.1702
         2       11       5.77868E-03   0.1656
         3       11       5.07379E-03   0.1696
         4       11       4.54653E-03   0.1952
         5       11       4.03576E-03   0.2066
         6       11       4.00057E-03   0.2036
         7       11       3.84068E-03   0.2281
         8       11       3.60337E-03   0.2695
         9       11       2.95574E-03   0.2925
        10       11       2.50214E-03   0.3031
        11       11       1.68641E-03   0.3933
        12       11       1.79237E-03   0.3329
        13       11       1.20737E-03   0.3190
        14       11       9.48078E-04   0.4302
        15       11       1.00615E-03   0.4058
        16       11       8.44767E-04   0.3859
        17       11       1.77775E-03   0.1298
        18       11       2.43110E-03   0.1915
        19       11       1.99886E-03   0.2041
        20       11       2.97762E-03   0.2366
        21       11       2.17017E-03   0.1873
        22       11       1.81369E-03   0.1533
        23       11       1.37823E-03   0.1445
        24       11       1.08633E-03   0.1359
        25       11       1.08935E-03   0.1341
        26       11       1.04371E-03   0.1466
        27       11       1.05061E-03   0.1596
        28       11       8.04343E-04   0.1500
        29       11       7.72225E-04   0.1651
        30       11       7.28997E-04   0.1907
        31       11       8.60479E-04   0.1883
        32       11       6.91707E-04   0.1377
         1       12       7.36734E-03   0.1257
