zone      T(1)         N(1)        T(2)        N(2)      V1(2)        V2(2)       V3(2)       
57  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  6681.396387900574  0.0
58  27.211245267446824  7.897496144461812e+18  175.03496699959203  7.897496144461812e+18  0.0  7859.252829318252  0.0
59  26.77312619291134  7.913202260635454e+18  176.5674922954694  7.913202260635454e+18  0.0  7893.637530184628  0.0
60  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7868.758848103747  0.0
61  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7694.5871361973495  0.0
62  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8250.699367878584  0.0
63  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8320.1962000584  0.0
64  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7938.255680283568  0.0
65  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7531.56115503231  0.0
66  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8437.402874025025  0.0
67  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7468.124318447948  0.0
68  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7487.026698230168  0.0
69  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7712.251753357624  0.0
70  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7632.96996503176  0.0
71  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7616.028541961989  0.0
72  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  7395.9946587810555  0.0
73  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8366.571912612208  0.0
74  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8709.688499426884  0.0
75  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8588.83772701661  0.0
76  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8873.820238886616  0.0
77  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8897.869938878803  0.0
78  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8997.266091723019  0.0
79  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8779.185331606703  0.0
80  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8962.106625047945  0.0
81  30.08805529  7.80476645e+18  165.72083229  7.80476645e+18  0.0  8867.1368842382  0.0
